Iteration,Timestamp,State,Action,Operator,Reward,QValueBefore,QValueAfter,Epsilon,BestObjective,CurrentObjective,QTableSize,AvgQValue,MaxQValue,MinQValue
57,2025-12-07 22:09:36.321,9,1,insert,0.000000,0.279818,0.286897,0.972382,25805.15,25805.15,8,0.281229,0.389559,0.114619
58,2025-12-07 22:09:36.460,9,5,cross,0.033637,0.185903,0.205737,0.971895,25796.47,25796.47,8,0.283708,0.389559,0.114619
59,2025-12-07 22:09:36.622,9,0,swap,0.073749,0.346599,0.354374,0.971409,25777.44,25777.44,8,0.284680,0.389559,0.114619
60,2025-12-07 22:09:36.761,9,5,cross,0.100123,0.205737,0.230236,0.970924,25751.64,25751.64,8,0.287742,0.389559,0.114619
61,2025-12-07 22:09:36.930,9,1,insert,0.158501,0.286897,0.309117,0.970438,25710.82,25710.82,8,0.290520,0.389559,0.114619
62,2025-12-07 22:09:37.079,9,0,swap,0.020354,0.354374,0.356032,0.969953,25705.59,25705.59,8,0.290727,0.389559,0.114619
63,2025-12-07 22:09:37.226,9,3,2opt,0.004149,0.366764,0.365563,0.969468,25704.52,25704.52,8,0.290577,0.389559,0.114619
64,2025-12-07 22:09:37.412,9,0,swap,0.000000,0.356032,0.355489,0.968983,25704.52,25704.52,8,0.290509,0.389559,0.114619
65,2025-12-07 22:09:37.552,9,4,oropt,0.000599,0.389559,0.385723,0.968499,25704.36,25704.36,8,0.290030,0.385723,0.114619
66,2025-12-07 22:09:37.736,9,0,swap,0.000000,0.355489,0.319941,0.968015,25704.36,25704.36,14,0.163192,0.385723,0.000000
67,2025-12-07 22:09:37.863,10,1,insert,0.064919,0.000000,0.006492,0.967531,25687.68,25687.68,14,0.163656,0.385723,0.000000
68,2025-12-07 22:09:38.005,10,4,oropt,0.000000,0.000000,0.000584,0.967047,25687.68,25687.68,14,0.163697,0.385723,0.000000
69,2025-12-07 22:09:38.126,10,0,swap,0.000000,0.000000,0.000584,0.966563,25687.68,25687.68,14,0.163739,0.385723,0.000000
70,2025-12-07 22:09:38.252,10,5,cross,0.000000,0.000000,0.000584,0.966080,25687.68,25687.68,14,0.163781,0.385723,0.000000
71,2025-12-07 22:09:38.377,10,5,cross,0.036352,0.000584,0.004745,0.965597,25678.34,25678.34,14,0.164078,0.385723,0.000000
72,2025-12-07 22:09:38.551,10,1,insert,0.000000,0.006492,0.006427,0.965114,25678.34,25678.34,14,0.164073,0.385723,0.000000
73,2025-12-07 22:09:38.715,10,3,2opt,0.000000,0.000000,0.000578,0.964632,25678.34,25678.34,14,0.164115,0.385723,0.000000
74,2025-12-07 22:09:38.913,10,1,insert,0.000000,0.006427,0.006363,0.964149,25678.34,25678.34,14,0.164110,0.385723,0.000000
75,2025-12-07 22:09:39.097,10,1,insert,0.000000,0.006363,0.006299,0.963667,25678.34,25678.34,14,0.164106,0.385723,0.000000
76,2025-12-07 22:09:39.326,10,1,insert,0.000000,0.006299,0.006236,0.963185,25678.34,25678.34,14,0.164101,0.385723,0.000000
77,2025-12-07 22:09:39.503,10,5,cross,0.000000,0.004745,0.004832,0.962704,25678.34,25678.34,14,0.164107,0.385723,0.000000
78,2025-12-07 22:09:39.684,10,0,swap,0.000000,0.000584,0.001087,0.962222,25678.34,25678.34,14,0.164143,0.385723,0.000000
79,2025-12-07 22:09:39.868,10,1,insert,0.000000,0.006236,0.006174,0.961741,25678.34,25678.34,14,0.164139,0.385723,0.000000
80,2025-12-07 22:09:40.052,10,3,2opt,0.000000,0.000578,0.001076,0.961260,25678.34,25678.34,14,0.164174,0.385723,0.000000
81,2025-12-07 22:09:40.220,10,4,oropt,0.000000,0.000584,0.001081,0.960780,25678.34,25678.34,14,0.164210,0.385723,0.000000
82,2025-12-07 22:09:40.366,10,3,2opt,0.000000,0.001076,0.001524,0.960299,25678.34,25678.34,14,0.164242,0.385723,0.000000
83,2025-12-07 22:09:40.509,10,5,cross,0.000000,0.004832,0.004904,0.959819,25678.34,25678.34,14,0.164247,0.385723,0.000000
84,2025-12-07 22:09:40.607,10,2,invert,0.000000,0.000000,0.000556,0.959339,25678.34,25678.34,14,0.164287,0.385723,0.000556
85,2025-12-07 22:09:40.775,10,1,insert,0.000000,0.006174,0.006112,0.958860,25678.34,25678.34,14,0.164282,0.385723,0.000556
86,2025-12-07 22:09:40.937,10,3,2opt,0.000000,0.001524,0.001922,0.958380,25678.34,25678.34,14,0.164311,0.385723,0.000556
87,2025-12-07 22:09:41.113,10,4,oropt,0.000000,0.001081,0.001523,0.957901,25678.34,25678.34,14,0.164342,0.385723,0.000556
88,2025-12-07 22:09:41.278,10,0,swap,0.000000,0.001087,0.001528,0.957422,25678.34,25678.34,14,0.164374,0.385723,0.000556
89,2025-12-07 22:09:41.393,10,1,insert,0.000000,0.006112,0.006051,0.956943,25678.34,25678.34,14,0.164369,0.385723,0.000556
90,2025-12-07 22:09:41.545,10,4,oropt,0.000000,0.001523,0.001916,0.956465,25678.34,25678.34,14,0.164397,0.385723,0.000556
91,2025-12-07 22:09:41.714,10,3,2opt,0.000000,0.001922,0.002274,0.955987,25678.34,25678.34,14,0.164423,0.385723,0.000556
92,2025-12-07 22:09:41.856,10,0,swap,0.000000,0.001528,0.001920,0.955509,25678.34,25678.34,14,0.164451,0.385723,0.000556
93,2025-12-07 22:09:41.979,10,5,cross,0.000000,0.004904,0.004959,0.955031,25678.34,25678.34,14,0.164454,0.385723,0.000556
94,2025-12-07 22:09:42.086,10,1,insert,0.000000,0.006051,0.005990,0.954553,25678.34,25678.34,14,0.164450,0.385723,0.000556
95,2025-12-07 22:09:42.181,10,3,2opt,0.000000,0.002274,0.002586,0.954076,25678.34,25678.34,14,0.164472,0.385723,0.000556
96,2025-12-07 22:09:42.329,10,5,cross,0.000000,0.004959,0.005002,0.953599,25678.34,25678.34,14,0.164475,0.385723,0.000556
97,2025-12-07 22:09:42.479,10,4,oropt,0.000000,0.001916,0.002263,0.953122,25678.34,25678.34,14,0.164500,0.385723,0.000556
98,2025-12-07 22:09:42.595,10,2,invert,0.000000,0.000556,0.001039,0.952646,25678.34,25678.34,14,0.164535,0.385723,0.001039
99,2025-12-07 22:09:42.728,10,4,oropt,0.000000,0.002263,0.002576,0.952169,25678.34,25678.34,14,0.164557,0.385723,0.001039
100,2025-12-07 22:09:42.855,10,5,cross,0.000000,0.005002,0.005041,0.951693,25678.34,25678.34,14,0.164560,0.385723,0.001039
101,2025-12-07 22:09:43.007,10,1,insert,0.000000,0.005990,0.005930,0.951218,25678.34,25678.34,14,0.164556,0.385723,0.001039
102,2025-12-07 22:09:43.185,10,1,insert,0.000000,0.005930,0.005871,0.950742,25678.34,25678.34,14,0.164551,0.385723,0.001039
103,2025-12-07 22:09:43.331,10,3,2opt,0.000000,0.002586,0.002856,0.950267,25678.34,25678.34,14,0.164571,0.385723,0.001039
104,2025-12-07 22:09:43.482,10,2,invert,0.000000,0.001039,0.001464,0.949791,25678.34,25678.34,14,0.164601,0.385723,0.001464
105,2025-12-07 22:09:43.654,10,5,cross,0.000000,0.005041,0.005065,0.949317,25678.34,25678.34,14,0.164603,0.385723,0.001464
106,2025-12-07 22:09:43.817,10,5,cross,0.000000,0.005065,0.005087,0.948842,25678.34,25678.34,14,0.164604,0.385723,0.001464
107,2025-12-07 22:09:44.007,10,2,invert,0.000000,0.001464,0.001846,0.948367,25678.34,25678.34,14,0.164632,0.385723,0.001846
108,2025-12-07 22:09:44.137,10,5,cross,0.000000,0.005087,0.005107,0.947893,25678.34,25678.34,14,0.164633,0.385723,0.001846
109,2025-12-07 22:09:44.283,10,3,2opt,0.000000,0.002856,0.003099,0.947419,25678.34,25678.34,14,0.164650,0.385723,0.001846
110,2025-12-07 22:09:44.475,10,3,2opt,0.000000,0.003099,0.003317,0.946946,25678.34,25678.34,14,0.164666,0.385723,0.001846
111,2025-12-07 22:09:44.618,10,4,oropt,0.000000,0.002576,0.002847,0.946472,25678.34,25678.34,14,0.164685,0.385723,0.001846
112,2025-12-07 22:09:44.779,10,4,oropt,0.000000,0.002847,0.003091,0.945999,25678.34,25678.34,14,0.164703,0.385723,0.001846
113,2025-12-07 22:09:44.966,10,3,2opt,0.000000,0.003317,0.003514,0.945526,25678.34,25678.34,14,0.164717,0.385723,0.001846
114,2025-12-07 22:09:45.109,10,1,insert,-0.037047,0.005871,0.002108,0.945053,25678.34,25687.85,14,0.164448,0.385723,0.001846
115,2025-12-07 22:09:45.211,10,4,oropt,0.000000,0.003091,0.003241,0.944581,25678.34,25687.85,14,0.164459,0.385723,0.001846
116,2025-12-07 22:09:45.424,10,1,insert,0.000000,0.002108,0.002357,0.944108,25678.34,25687.85,14,0.164477,0.385723,0.001846
