ScenarioId,Filename,Iterations,TabuSize,MutationType,UseRL,Repeat,Seed,GreedyObjective,GreedyTotalCost,GreedyTotalPenalty,GreedyTotalVehicleOperationTime,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs,GTR,algorithm
14,pliki//100 lokacji//C101.txt,200,50,swap,False,2,21042,15211.71859121011,1336.4323934245178,8218.853804361075,5656.432393424517,11728.377139874738,1384.713284771618,4638.950570331503,5704.7132847716175,11,300012.093,0;13;95;92;0;0;98;18;10;16;14;9;0;0;24;41;53;38;39;23;0;0;63;0;0;20;25;8;0;0;32;31;35;37;30;0;0;5;96;82;84;0;0;90;76;71;70;72;0;0;57;54;0;0;67;86;62;44;60;45;0;0;43;7;94;73;36;22;49;0,TabuSearch
14,pliki//100 lokacji//C101.txt,200,50,swap,False,2,21043,15211.71859121011,1336.4323934245178,8218.853804361075,5656.432393424517,12593.087589789444,1442.2867474187244,5388.514094951996,5762.286747418724,11,300019.5429,0;18;31;35;37;30;23;0;0;13;7;94;92;0;0;57;54;0;0;67;63;62;0;0;98;96;8;16;14;0;0;20;24;10;44;72;9;22;49;0;0;41;76;70;73;84;0;0;90;53;39;38;0;0;32;25;0;0;5;95;82;0;0;43;86;71;60;45;36;0,TabuSearch
15,pliki//100 lokacji//C101.txt,200,50,swap,False,2,22042,14989.980586100504,1377.574613584888,8004.831358930728,5607.574613584888,13257.229510933976,1367.8552322693838,6291.519046395208,5597.855232269384,11,300034.8193,0;98;27;62;46;0;0;43;54;40;38;48;0;0;5;95;29;30;28;0;0;67;63;0;0;25;0;0;20;94;70;73;79;89;66;0;0;3;41;35;37;60;59;0;0;57;8;11;9;0;0;13;31;53;61;0;0;90;86;83;92;6;26;0;0;32;7;10;0,TabuSearch
15,pliki//100 lokacji//C101.txt,200,50,swap,False,2,22043,14989.980586100504,1377.574613584888,8004.831358930728,5607.574613584888,12931.096741390933,1321.0052373582087,6059.086266674517,5551.0052373582075,11,300016.2122,0;63;0;0;67;95;62;61;79;59;66;0;0;32;25;0;0;98;86;70;73;89;0;0;57;54;0;0;43;35;53;9;28;26;0;0;5;8;27;29;30;0;0;20;31;40;37;38;0;0;90;41;60;46;48;0;0;13;7;10;0;0;3;83;94;92;11;6;0,TabuSearch
16,pliki//100 lokacji//C101.txt,200,50,swap,False,2,23042,15287.068770061745,1121.7853824909166,8543.498005079913,5621.785382490916,13446.694024085125,1333.6343023223878,6279.425419440349,5833.634302322389,11,300015.8673,0;57;54;62;0;0;98;8;82;84;0;0;24;25;15;0;0;90;86;83;44;73;77;79;80;0;0;67;63;0;0;5;27;40;56;60;59;0;0;20;33;35;37;30;0;0;43;41;10;29;26;9;99;89;0;0;32;18;19;72;0;0;13;95;88;0;0;3;53;58;46;0,TabuSearch
16,pliki//100 lokacji//C101.txt,200,50,swap,False,2,23043,15287.068770061745,1121.7853824909166,8543.498005079913,5621.785382490916,13761.037860285876,1420.0918842828455,6420.854091720186,5920.091884282845,10,300006.8702,0;67;25;27;29;30;9;0;0;24;63;62;44;73;79;0;0;43;86;10;56;59;99;89;0;0;5;3;8;15;0;0;20;41;83;88;84;26;0;0;13;18;19;37;72;0;0;32;33;35;0;0;98;95;82;80;77;0;0;90;54;60;58;0;0;57;40;53;46;0,TabuSearch
17,pliki//100 lokacji//C101.txt,200,50,swap,False,2,24042,17603.83822940423,1617.0713791742805,9419.695471055671,6567.07137917428,15725.550446857957,1599.6825631651302,7576.185320527695,6549.682563165131,11,300058.5156,0;63;82;77;79;0;0;98;86;83;10;99;91;89;80;69;0;0;90;62;19;11;28;59;50;0;0;32;18;0;0;5;95;27;30;39;48;0;0;20;31;35;29;0;0;42;7;15;14;9;26;4;0;0;3;41;94;84;64;88;0;0;13;25;0;0;67;54;44;46;0;0;43;53;56;58;0,TabuSearch
17,pliki//100 lokacji//C101.txt,200,50,swap,False,2,24043,17603.83822940423,1617.0713791742805,9419.695471055671,6567.07137917428,16204.690133302187,1680.4946577575483,7893.700817787089,6630.494657757548,12,300017.494,0;13;18;10;0;0;35;19;94;88;89;99;4;0;0;3;95;15;11;0;0;98;86;46;44;64;79;80;0;0;20;0;0;31;54;56;0;0;43;42;53;77;48;59;50;0;0;90;41;30;9;14;39;69;91;0;0;83;62;82;84;28;0;0;67;63;0;0;5;7;27;29;58;26;0;0;32;25;0,TabuSearch
18,pliki//100 lokacji//C101.txt,200,50,swap,False,2,25042,20889.637957506093,1465.4261198490813,12558.785717807928,6865.426119849082,17990.06916832304,1554.608489137918,9480.852190047206,6954.608489137918,10,300029.0692,0;20;24;40;14;9;26;68;52;50;0;0;42;41;84;45;46;59;66;69;0;0;67;86;83;72;77;6;51;49;0;0;5;7;8;85;0;0;90;87;39;44;99;89;91;0;0;32;25;27;29;0;0;98;96;94;93;11;0;0;13;18;19;36;23;0;0;43;54;53;60;79;4;0;0;57;35;37;48;0,TabuSearch
18,pliki//100 lokacji//C101.txt,200,50,swap,False,2,25043,20889.637957506093,1465.4261198490813,12558.785717807928,6865.426119849082,17990.06916832304,1554.608489137918,9480.852190047206,6954.608489137918,10,300006.5092,0;20;24;40;14;9;26;68;52;50;0;0;42;41;84;45;46;59;66;69;0;0;67;86;83;72;77;6;51;49;0;0;5;7;8;85;0;0;90;87;39;44;99;89;91;0;0;32;25;27;29;0;0;98;96;94;93;11;0;0;13;18;19;36;23;0;0;43;54;53;60;79;4;0;0;57;35;37;48;0,TabuSearch
